time,speaker,phase,content
17:17:37,G1P1,ideaGenerationOne,like…
17:17:38,G1P1,ideaGenerationOne,To be able to get drinks easier.
17:17:42,G1P1,ideaGenerationOne,Especially in the buildings that don't have them.
17:17:46,G1P1,ideaGenerationOne,Um…
17:17:59,G1P1,ideaGenerationOne,Um…
17:18:06,G1P1,ideaGenerationOne,"I feel like if stuff gets moved, uh, making that…"
17:18:11,G1P1,ideaGenerationOne,"very known, also."
17:18:15,G1P1,ideaGenerationOne,uh… explaining what new things are.
17:18:20,G1P1,ideaGenerationOne,"like, where the, uh…"
17:18:26,G1P1,ideaGenerationOne,"If the, uh…"
17:18:31,G1P1,ideaGenerationOne,old campus shop is now a seating place.
17:18:36,G1P1,ideaGenerationOne,make that known.
17:18:38,G1P1,ideaGenerationOne,Because I'm not sure.
17:18:41,G1P1,ideaGenerationOne,Um…
17:18:45,G1P2,ideaGenerationOne,"more food options, that isn't know."
17:18:50,G1P1,ideaGenerationOne,Yes.
17:18:52,G1P2,ideaGenerationOne,So we don't have to leave campus.
17:18:55,G1P1,ideaGenerationOne,"I agree. Also, the, uh, text inbox used…"
17:19:00,G1P1,ideaGenerationOne,in more of the places that are…
17:19:04,G1P1,ideaGenerationOne,"basically, like, right next to campus, but aren't on campus."
17:19:11,G1P1,ideaGenerationOne,"Also, uh…"
17:19:15,G1P1,ideaGenerationOne,"Milking the, like…"
17:19:17,G1P1,ideaGenerationOne,"We… someone mentioned parking, but more specifically, um…"
17:19:23,G1P1,ideaGenerationOne,"And having a way to where it's known if, like, a lot is full."
17:19:29,G1P1,ideaGenerationOne,"Sort of like how, uh…"
17:19:31,G1P1,ideaGenerationOne,"In parking garages, there's ways you can know."
17:19:37,G1P1,ideaGenerationOne,"some way, magically. I don't know."
17:19:39,G1P1,ideaGenerationOne,But…
17:19:42,G1P1,ideaGenerationOne,"Um, oh, also the roads, making the roads around the entirety of the campus better."
17:19:52,G1P1,ideaGenerationOne,"like, we're… I don't know if the Dairy coin's still there, but…"
17:19:56,G1P1,ideaGenerationOne,"where that, like…"
17:19:58,G1P1,ideaGenerationOne,"going towards honors law, or, like, the gym."
17:20:02,G1P1,ideaGenerationOne,that dip…
17:20:05,G1P1,ideaGenerationOne,fixing that.
17:20:08,G1P1,ideaGenerationOne,Um…
17:20:15,G1P2,ideaGenerationOne,"I'm still in grad classes, having more grad classes during the day instead of at night."
17:20:20,G1P1,ideaGenerationOne,Yes.
17:20:22,G1P1,ideaGenerationOne,but also not too early in the day.
17:20:27,G1P1,ideaGenerationOne,Um…
17:20:31,G1P1,ideaGenerationOne,"The, uh, grad classes that, like, seem really interesting, but, like,"
17:20:37,G1P1,ideaGenerationOne,"having them actually available, like, there's some of the, like, psychology, like,"
17:20:44,G1P1,ideaGenerationOne,math-type-related ones.
17:20:45,G1P1,ideaGenerationOne,"That, for the past year,"
17:20:50,G1P1,ideaGenerationOne,"haven't been available, and…"
17:20:53,G1P1,ideaGenerationOne,making them available.
17:20:54,G1P1,ideaGenerationOne,"So, probably, uh…"
17:20:56,G1P1,ideaGenerationOne,more people will be able to teach that.
17:20:58,G1P1,ideaGenerationOne,Stop.
17:21:02,G1P1,ideaGenerationOne,Um…
17:21:06,G1P1,ideaGenerationOne,Also…
17:21:10,G1P1,ideaGenerationOne,announcements for…
17:21:11,G1P1,ideaGenerationOne,things that… better announcements.
17:21:16,G1P1,ideaGenerationOne,for…
17:21:17,G1P1,ideaGenerationOne,"just a variety of things, not, like, just…"
17:21:26,G1P1,ideaGenerationOne,Um…
17:21:29,G1P2,ideaGenerationOne,putting more exciting things to do.
17:21:31,G1P2,ideaGenerationOne,"more interactive, exciting things, like mini-concerts or something."
17:21:35,G1P2,ideaGenerationOne,That's not just nights and every once in a while.
17:21:38,G1P1,ideaGenerationOne,Yes.
17:21:42,G1P1,ideaGenerationOne,Um…
17:21:46,G1P1,ideaGenerationOne,making the biomedical…
17:21:49,G1P1,ideaGenerationOne,"Private program,"
17:21:51,G1P1,ideaGenerationOne,actually about pre-vet.
17:21:55,G1P1,ideaGenerationOne,"Um, so actual animal-related stuff."
17:22:00,G1P2,ideaGenerationOne,putting together a…
17:22:01,G1P1,ideaGenerationOne,Um…
17:22:03,G1P2,ideaGenerationOne,"like a student market where people can go and sell things, because there's art students and everything."
17:22:09,G1P1,ideaGenerationOne,"some type of, like… yeah, a program to sell stuff."
17:22:14,G1P1,ideaGenerationOne,just… with…
17:22:19,G1P1,ideaGenerationOne,Students! Oh.
17:22:22,G1P1,ideaGenerationOne,"Um… money to help, uh…"
17:22:27,G1P1,ideaGenerationOne,"to help, uh, psychology…"
17:22:31,G1P1,ideaGenerationOne,students who are on the thesis track be able to go to conferences?
17:22:37,G1P1,ideaGenerationOne,Because conferences are very helpful.
17:22:41,G1P1,ideaGenerationOne,a good experience?
17:22:44,G1P1,ideaGenerationOne,Um…
17:22:47,G1P1,ideaGenerationOne,So money helps students.
17:22:49,G1P1,ideaGenerationOne,be able to do that kind of stuff.
17:22:53,G1P1,ideaGenerationOne,Um…
17:22:56,G1P1,ideaGenerationOne,Also…
17:22:59,G1P1,ideaGenerationOne,Neuroscience classes available?
17:23:04,G1P1,ideaGenerationOne,some of that type of stuff available in grad.
17:23:09,G1P1,ideaGenerationOne,"level. Some of those classes, grad level."
17:23:12,G1P1,ideaGenerationOne,Um…
17:23:14,G1P2,ideaGenerationOne,"more special topics, interesting special topics for grad level, yes."
17:23:17,G1P1,ideaGenerationOne,Yes.
17:23:20,G1P1,ideaGenerationOne,"Also, making those special… like, making"
17:23:24,G1P1,ideaGenerationOne,Topics?
17:23:29,G1P1,ideaGenerationOne,"known to students. Also, just the scheduling."
17:23:34,G1P1,ideaGenerationOne,"For, um…"
17:23:36,G1P1,ideaGenerationOne,"For classes for grad students,"
17:23:39,G1P1,ideaGenerationOne,Making it known to students what is going on there.
17:23:45,G1P1,ideaGenerationOne,"Um, like, if something is every other year,"
17:23:49,G1P1,ideaGenerationOne,let students know that.
17:23:52,G1P1,ideaGenerationOne,Um…
17:23:57,G1P2,ideaGenerationOne,"It's a relaxing area, like Cat Cafe or the Goat Cafes? That'll be interesting."
17:24:01,G1P1,ideaGenerationOne,"Yeah, that'd be fun."
17:24:03,G1P2,ideaGenerationOne,I'll go there all the time.
17:24:04,G1P1,ideaGenerationOne,Um…
17:24:07,G1P1,ideaGenerationOne,"Um, also…"
17:24:11,G1P1,ideaGenerationOne,There's something I was thinking…
17:24:18,G1P1,ideaGenerationOne,I was thinking something.
17:24:35,G1P1,ideaGenerationOne,"Oh, um…"
17:24:36,G1P1,ideaGenerationOne,"If the, uh…"
17:24:39,G1P1,ideaGenerationOne,"One, I don't know if this is a thing. If it's not, it needs to be a thing."
17:24:44,G1P1,ideaGenerationOne,"Uh, and available to students."
17:24:49,G1P1,ideaGenerationOne,Hunting laminated stuff?
17:24:52,G1P1,ideaGenerationOne,"If it's for a class,"
17:24:55,G1P1,ideaGenerationOne,making it so they can print that laminated
17:24:59,G1P1,ideaGenerationOne,thing on campus.
17:25:02,G1P1,ideaGenerationOne,somewhere.
17:25:04,G1P1,ideaGenerationOne,I don't know if that's a thing?
17:25:08,G1P1,ideaGenerationOne,"Well, printing special type"
17:25:11,G1P1,ideaGenerationOne,stuff should be available.
17:25:14,G1P1,ideaGenerationOne,"Um… there can be a lot of printing-related things, or, like, tools."
17:25:24,G1P1,ideaGenerationOne,"Like, imagine 3D printing, having that available somewhere on campus."
17:25:32,G1P1,ideaGenerationOne,"like, I mean, pay, obviously, but like…"
17:25:38,G1P1,ideaGenerationOne,Um…
17:25:41,G1P1,ideaGenerationOne,"Oh, yeah. Uh, if…"
17:25:45,G1P1,ideaGenerationOne,Um…
17:25:49,G1P1,ideaGenerationOne,Though…
17:25:50,G1P1,ideaGenerationOne,"If a class is on campus,"
17:25:53,G1P1,ideaGenerationOne,making that known.
17:25:56,G1P1,ideaGenerationOne,"Because it's, like…"
17:25:58,G1P1,ideaGenerationOne,And if the schedule…
17:26:01,G1P1,ideaGenerationOne,"like, making that known on the concise student schedule."
17:26:05,G1P1,ideaGenerationOne,And they'd actually be right.
17:26:08,G1P1,ideaGenerationOne,Um…
17:26:26,Experimenter 0,break,"Okay, if you could go ahead and stop generating ideas."
17:26:30,Experimenter 0,break,"Uh, we're going to move into the next session now. In this session,"
17:26:34,Experimenter 0,break,"Uh, you will once again brainstorm ideas for the same problem following Osborne's rules. However, this time,"
17:26:40,Experimenter 0,break,You will receive examples that will help you generate more ideas on the same problem.
17:26:44,Experimenter 0,break,"As you brainstormed, you may have noticed that ideas came quickly at first, and then began to slow down over time."
17:26:50,Experimenter 0,break,"Uh, this is a common pattern in brainstorming. To help you generate more ideas in this session, we will generate examples using an AI tool."
17:26:58,Experimenter 0,break,"I'm going to select participant 2,"
17:27:01,Experimenter 0,break,"To assist with this. Uh, Participant 2,"
17:27:04,Experimenter 0,break,"Uh, please share your screen with the group."
17:27:06,Experimenter 0,break,And I've got to make sure you can do that.
17:27:09,Experimenter 0,break,should be able to…
17:27:14,Experimenter 0,break,Are you able to share your screen?
17:27:19,G1P2,break,I'm sending a request.
17:27:19,Experimenter 0,break,"Okay, perfect. Alright."
17:27:41,Experimenter 0,break,"Perfect, okay. And if you could go ahead, and I see that you have a web browser open, which is what I was going to ask you next."
17:27:47,Experimenter 0,break,"Um, would you be willing to use CTRL to press Ctrl-Shift-N at the same time on your keyboard?"
17:27:55,G1P2,break,Ctrl-Shift-N.
17:27:56,Experimenter 0,break,Yes.
17:28:00,Experimenter 0,break,Perfect. And so…
17:28:04,Experimenter 0,break,What I'm gonna do is I have a link for you to go to.
17:28:08,Experimenter 0,break,"If you could please, uh, copy and paste that link."
17:28:08,G1P2,break,Okay.
17:28:11,Experimenter 0,break,"Uh, into the top of the search bar."
17:28:20,G1P2,break,Boom!
17:28:37,G1P2,break,In the search bar?
17:28:37,Experimenter 0,break,Yes.
17:28:40,Experimenter 0,break,Perfect. Okay.
17:28:44,Experimenter 0,break,"Um… now that you have that, I'm going to also share with you"
17:28:50,Experimenter 0,break,prompt…
17:28:52,Experimenter 0,break,to give to the AI tool.
17:28:56,Experimenter 0,break,"Here's that prompt. If you could go ahead and copy and paste that, uh, from the…"
17:29:01,Experimenter 0,break,"chat into the, uh,"
17:29:03,Experimenter 0,break,bar that's titled Ask Anything.
17:29:15,Experimenter 0,break,Perfect.
17:29:17,Experimenter 0,break,"Awesome. And then, if you scroll down,"
17:29:20,Experimenter 0,break,I believe that there is a button that has two squares.
17:29:23,Experimenter 0,break,And that should copy the contents.
17:29:26,Experimenter 0,break,And then if you could paste those contents into the Zoom chat.
17:29:42,Experimenter 0,break,"Perfect, okay, and you can go ahead and stop sharing your screen."
17:29:52,Experimenter 0,break,"I believe the same way that you shared it, there should be, uh… it should be replaced with the stop button now."
17:30:06,G1P2,break,Where?
17:30:07,Experimenter 0,break,Um…
17:30:11,Experimenter 0,break,"It should be right where you had placed, uh, on the bar. Perfect. Excellent."
17:30:13,G1P2,break,"Oh, there it is."
17:30:15,Experimenter 0,break,"Okay, and so… let me see where I am here…"
17:30:17,G1P2,break,Okay.
17:30:27,Experimenter 0,break,"Okay, um, you both can see… now see the ideas that were generated, uh…"
17:30:33,Experimenter 0,break,"from the AI, yes?"
17:30:35,Experimenter 0,break,"Okay, um, so once again…"
17:30:39,Experimenter 0,break,"that probably will be working on today is called the University Problem. Basically, we would like you to generate ideas or ways to improve your university."
17:30:45,Experimenter 0,break,Any suggestions you have about how to make the university better are appropriate. You have 10 minutes to verbally brainstorm on this.
17:30:51,Experimenter 0,break,"Uh, even if you are done before the 10 minutes,"
17:30:54,Experimenter 0,break,"keep trying to generate ideas, I will return when the 10 minutes are up."
17:31:00,Experimenter 0,break,Your…
17:31:04,Experimenter 0,ideaGenerationTwo,your 10-minute timer starts now.
17:31:09,G1P1,ideaGenerationTwo,"Okay, um…"
17:31:13,G1P1,ideaGenerationTwo,"So, starting with number 1."
17:31:18,G1P1,ideaGenerationTwo,That's already available.
17:31:21,G1P1,ideaGenerationTwo,That's how it works.
17:31:25,G1P1,ideaGenerationTwo,"Um, as long as…"
17:31:26,G1P2,ideaGenerationTwo,"Well, having…"
17:31:27,G1P1,ideaGenerationTwo,Sorry.
17:31:27,G1P2,ideaGenerationTwo,"Especially for the higher classes, having more availability."
17:31:33,G1P1,ideaGenerationTwo,Yeah.
17:31:34,G1P2,ideaGenerationTwo,"Instead of having them so close together or overlapping, so you can only take one option instead of two or whatnot."
17:31:41,G1P1,ideaGenerationTwo,Yeah.
17:31:43,G1P2,ideaGenerationTwo,Um…
17:31:47,G1P1,ideaGenerationTwo,"more options, more opportunities."
17:31:49,G1P2,ideaGenerationTwo,Mm-hmm.
17:31:52,G1P2,ideaGenerationTwo,Having a…
17:31:54,G1P2,ideaGenerationTwo,"having an app or a website that we can do tutoring one-on-one with, that would be awesome."
17:32:00,G1P1,ideaGenerationTwo,"Yeah. Being able to, like,"
17:32:01,G1P2,ideaGenerationTwo,Instead of having finance groups.
17:32:03,G1P1,ideaGenerationTwo,Sorry. Being able to actually reach
17:32:07,G1P1,ideaGenerationTwo,people easier?
17:32:09,G1P2,ideaGenerationTwo,Mm-hmm.
17:32:11,G1P1,ideaGenerationTwo,Um…
17:32:15,G1P2,ideaGenerationTwo,"And having the accessibility, if it's online, for people that are commuters and stuff, instead of having to come up to"
17:32:21,G1P2,ideaGenerationTwo,or come up to Stevenville or Tarleton.
17:32:24,G1P1,ideaGenerationTwo,Mm-hmm.
17:32:24,G1P2,ideaGenerationTwo,"to do so. Um, oh!"
17:32:32,G1P1,ideaGenerationTwo,Um…
17:32:33,G1P2,ideaGenerationTwo,I think we need a more interactive mobile app.
17:32:36,G1P2,ideaGenerationTwo,Maybe that could be where…
17:32:36,G1P1,ideaGenerationTwo,I agree.
17:32:38,G1P2,ideaGenerationTwo,"You can see where available parking spots are, so that I could sensor whenever you go in and out for everywhere."
17:32:44,G1P2,ideaGenerationTwo,"And they'll tell you… and it has a limit on them, and it tells you who goes in and out, so you know if there's availability."
17:32:52,G1P1,ideaGenerationTwo,that… definitely a more…
17:32:55,G1P1,ideaGenerationTwo,"interactive, and like…"
17:32:57,G1P2,ideaGenerationTwo,Yes.
17:32:58,G1P1,ideaGenerationTwo,"Unless they're with, like, food options."
17:33:02,G1P1,ideaGenerationTwo,"estimate for, like, how long something might be."
17:33:06,G1P1,ideaGenerationTwo,to take. So it's like…
17:33:09,G1P1,ideaGenerationTwo,"Hey, if this is a busy time, it's gonna be a while."
17:33:13,G1P2,ideaGenerationTwo,"Or being able to request the transportation that you mentioned earlier on the app, be like, hey, I'm all the way at the football field, I need to go here."
17:33:13,G1P1,ideaGenerationTwo,Um…
17:33:22,G1P1,ideaGenerationTwo,Yes.
17:33:25,G1P1,ideaGenerationTwo,Um…
17:33:26,G1P1,ideaGenerationTwo,"Basically, app for everything."
17:33:29,G1P1,ideaGenerationTwo,Um…
17:33:30,G1P2,ideaGenerationTwo,"transportation to get to other food establishments, like people that live on campus that don't have vehicles, or don't want to leave because if they leave, they don't have parking."
17:33:37,G1P2,ideaGenerationTwo,"They can be like, oh, I want to request a ride to this food place."
17:33:42,G1P1,ideaGenerationTwo,Yes.
17:33:44,G1P2,ideaGenerationTwo,"And it's just for students, not for everyone else in Steamville."
17:33:47,G1P1,ideaGenerationTwo,"Yeah,"
17:33:50,G1P1,ideaGenerationTwo,Um…
17:33:52,G1P1,ideaGenerationTwo,"Sustainability Challenge Program, where students can participate."
17:33:57,G1P1,ideaGenerationTwo,That sounds like… so…
17:34:00,G1P1,ideaGenerationTwo,Um…
17:34:02,G1P1,ideaGenerationTwo,"So, just reading it out loud, introduce a sustainability challenge program where students can participate in eco-friendly initiatives and earn rewards."
17:34:13,G1P1,ideaGenerationTwo,"I feel like that would be really fun, and just, like,"
17:34:17,G1P1,ideaGenerationTwo,"There can be different types of things. So, it's like…"
17:34:22,G1P1,ideaGenerationTwo,"if someone's not good at one thing, they can't, like, there's a different thing that they might be. Or, like,"
17:34:29,G1P1,ideaGenerationTwo,if there's something…
17:34:31,G1P1,ideaGenerationTwo,So there's different things where people will actually be interested.
17:34:38,G1P1,ideaGenerationTwo,"And, um…"
17:34:40,G1P1,ideaGenerationTwo,"And that can also help the, like, community."
17:34:42,G1P2,ideaGenerationTwo,"Yeah, but also getting rewards. People are reward-motivated, especially with food."
17:34:48,G1P2,ideaGenerationTwo,why I'm food-motivated.
17:34:51,G1P2,ideaGenerationTwo,"So, earnings for food, please?"
17:34:52,G1P1,ideaGenerationTwo,"Or it's like, you can, like, maybe if it's, like,"
17:34:55,G1P1,ideaGenerationTwo,"So it can be food, but it can also be, like, text inbox."
17:34:59,G1P2,ideaGenerationTwo,Mm-hmm.
17:35:00,G1P1,ideaGenerationTwo,"you earn some of that, and then some bucks can be used all over campus."
17:35:04,G1P2,ideaGenerationTwo,Yep.
17:35:05,G1P1,ideaGenerationTwo,I believe. Um…
17:35:07,G1P1,ideaGenerationTwo,virtual mentor… mentorship program connecting students with alumni for career guidance and networking.
17:35:13,G1P2,ideaGenerationTwo,That would be awesome for… especially for the master's level psychology.
17:35:19,G1P1,ideaGenerationTwo,Yes. Um…
17:35:21,G1P2,ideaGenerationTwo,"Even undergrad, too, because a lot of undergrad"
17:35:25,G1P2,ideaGenerationTwo,need to have the mentorship so they know what to do.
17:35:28,G1P2,ideaGenerationTwo,especially with the specialization stuff.
17:35:31,G1P1,ideaGenerationTwo,"I think just some kind of, like…"
17:35:35,G1P1,ideaGenerationTwo,Communication system where it's like…
17:35:38,G1P1,ideaGenerationTwo,you're able to…
17:35:41,G1P1,ideaGenerationTwo,find people.
17:35:43,G1P1,ideaGenerationTwo,And… that…
17:35:46,G1P1,ideaGenerationTwo,"might be able to give you advice, or, um…"
17:35:51,G1P1,ideaGenerationTwo,Or it just might be…
17:35:54,G1P1,ideaGenerationTwo,able to talk through situations.
17:35:56,G1P2,ideaGenerationTwo,you lost what… I lost you.
17:35:57,G1P2,ideaGenerationTwo,Can't hear you.
17:35:58,G1P1,ideaGenerationTwo,"Oh, can you hear me now?"
17:36:02,G1P1,ideaGenerationTwo,Or is it just…
17:36:06,G1P2,ideaGenerationTwo,I can't hear you!
17:36:07,G1P1,ideaGenerationTwo,"Hello, hello, hello."
17:36:11,G1P1,ideaGenerationTwo,Hello?
17:36:11,G1P2,ideaGenerationTwo,I can hear you now.
17:36:13,G1P2,ideaGenerationTwo,"Yeah, I can hear you."
17:36:17,G1P1,ideaGenerationTwo,Can you hear me now.
17:36:18,G1P2,ideaGenerationTwo,Yeah.
17:36:18,G1P1,ideaGenerationTwo,"Okay, I don't know what. Um…"
17:36:24,G1P1,ideaGenerationTwo,"I was basically just continuing with the… just some type of, like, communication system."
17:36:30,G1P1,ideaGenerationTwo,"to be able to, like, talk through things where people might… but, like,"
17:36:31,G1P2,ideaGenerationTwo,Mm-hmm.
17:36:38,G1P1,ideaGenerationTwo,"In an interesting, not forced…"
17:36:40,G1P1,ideaGenerationTwo,"type of way. Or is, like…"
17:36:41,G1P2,ideaGenerationTwo,Yeah.
17:36:43,G1P1,ideaGenerationTwo,enjoyable.
17:36:45,G1P2,ideaGenerationTwo,Mm-hmm.
17:36:45,G1P1,ideaGenerationTwo,but also helpful.
17:36:48,G1P2,ideaGenerationTwo,Yeah.
17:36:50,G1P2,ideaGenerationTwo,"Well, also, if there's, like, a list, like, an app or a website where there's a list of alumni that's, like,"
17:36:57,G1P2,ideaGenerationTwo,"in whatever department you are, and then they're like, oh, these are the jobs that there is, so if you have an interest,"
17:37:02,G1P2,ideaGenerationTwo,"And something that you could talk to them, and then…"
17:37:04,G1P2,ideaGenerationTwo,"get the inside scoop on that before you make the decision, or to further your special…"
17:37:10,G1P2,ideaGenerationTwo,"specialization in that, or…"
17:37:11,G1P2,ideaGenerationTwo,"or pursue that in the future, be like, if this isn't for me,"
17:37:15,G1P2,ideaGenerationTwo,"That would be awesome to have that kind of stuff, because right now, you'd have to, like,"
17:37:19,G1P2,ideaGenerationTwo,"go out and go to these places, and not everybody's receptive of those kind of questions."
17:37:24,G1P1,ideaGenerationTwo,Yep.
17:37:26,G1P1,ideaGenerationTwo,Um…
17:37:44,G1P2,ideaGenerationTwo,We need better…
17:37:47,G1P2,ideaGenerationTwo,"like, mobile app to also…"
17:37:49,G1P2,ideaGenerationTwo,"going back to the mobile app on number 3, I feel like if they were to make a mobile app that actually had an… the announcements you said we need better announcements,"
17:37:57,G1P2,ideaGenerationTwo,"and programs and activities,"
17:37:59,G1P2,ideaGenerationTwo,"And, like, if they're gonna do get-togethers like that, I think they need to have it all in one place, instead of being like, oh, follow this on Instagram, this on Instagram, this on Instagram, or this on Facebook."
17:38:07,G1P2,ideaGenerationTwo,"And it's, like, all in one place, because, I mean, you can go to…"
17:38:11,G1P2,ideaGenerationTwo,"Tarleton State University, but…"
17:38:13,G1P2,ideaGenerationTwo,"they have to go through, like, all these different steps to get to the calendar, and then sometimes it's…"
17:38:17,G1P2,ideaGenerationTwo,"not always on there, because it's, like, pop-up kind of thing."
17:38:22,G1P1,ideaGenerationTwo,"And then, also just a variety of stuff."
17:38:26,G1P1,ideaGenerationTwo,"So, like, it's not just sports-type things."
17:38:26,G1P2,ideaGenerationTwo,Mm-hmm.
17:38:30,G1P2,ideaGenerationTwo,"Yes, yes."
17:38:31,G1P1,ideaGenerationTwo,"So, like…"
17:38:35,G1P1,ideaGenerationTwo,along… because…
17:38:37,G1P1,ideaGenerationTwo,if they're… yeah.
17:38:41,G1P1,ideaGenerationTwo,Um…
17:38:51,G1P1,ideaGenerationTwo,"I feel like more activities just for, like, gradu- like, grad students."
17:38:56,G1P2,ideaGenerationTwo,Mm-hmm.
17:38:58,G1P1,ideaGenerationTwo,Because I feel…
17:39:02,G1P2,ideaGenerationTwo,A lot of stuff happens while we're in class.
